id,split,landmark_id,landmark_name,new_path
train_10363_1,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_1.jpg
train_10363_2,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_2.jpg
train_10363_3,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_3.jpg
train_10363_4,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_4.jpg
train_10363_5,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_5.jpg
train_10363_6,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_6.jpg
train_10363_7,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_7.jpg
train_10363_8,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_8.jpg
train_10363_9,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_9.jpg
train_10363_10,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_10.jpg
train_10363_11,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_11.jpg
train_10363_12,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_12.jpg
train_10363_13,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_13.jpg
train_10363_14,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_14.jpg
train_10363_15,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_15.jpg
train_10363_16,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_16.jpg
train_10363_17,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_17.jpg
train_10363_18,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_18.jpg
train_10363_19,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_19.jpg
train_10363_20,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_20.jpg
train_10363_21,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_21.jpg
train_10363_22,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_22.jpg
train_10363_23,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_23.jpg
train_10363_24,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_24.jpg
train_10363_25,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_25.jpg
train_10363_26,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_26.jpg
train_10363_27,train,10363,"Pham Ngu Lao Street, Ho Chi Minh City",../../data/landmark_vietnam_dataset_split\train\10363\train_10363_27.jpg
train_104622_1,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_1.jpg
train_104622_2,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_2.jpg
train_104622_3,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_3.jpg
train_104622_4,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_4.jpg
train_104622_5,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_5.jpg
train_104622_6,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_6.jpg
train_104622_7,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_7.jpg
train_104622_8,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_8.jpg
train_104622_9,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_9.jpg
train_104622_10,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_10.jpg
train_104622_11,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_11.jpg
train_104622_12,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_12.jpg
train_104622_13,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_13.jpg
train_104622_14,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_14.jpg
train_104622_15,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_15.jpg
train_104622_16,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_16.jpg
train_104622_17,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_17.jpg
train_104622_18,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_18.jpg
train_104622_19,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_19.jpg
train_104622_20,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_20.jpg
train_104622_21,train,104622,Kim Lien shrine,../../data/landmark_vietnam_dataset_split\train\104622\train_104622_21.jpg
train_104627_1,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_1.jpg
train_104627_2,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_2.jpg
train_104627_3,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_3.jpg
train_104627_4,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_4.jpg
train_104627_5,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_5.jpg
train_104627_6,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_6.jpg
train_104627_7,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_7.jpg
train_104627_8,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_8.jpg
train_104627_9,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_9.jpg
train_104627_10,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_10.jpg
train_104627_11,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_11.jpg
train_104627_12,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_12.jpg
train_104627_13,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_13.jpg
train_104627_14,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_14.jpg
train_104627_15,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_15.jpg
train_104627_16,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_16.jpg
train_104627_17,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_17.jpg
train_104627_18,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_18.jpg
train_104627_19,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_19.jpg
train_104627_20,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_20.jpg
train_104627_21,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_21.jpg
train_104627_22,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_22.jpg
train_104627_23,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_23.jpg
train_104627_24,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_24.jpg
train_104627_25,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_25.jpg
train_104627_26,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_26.jpg
train_104627_27,train,104627,Pavilion of Splendour (Citadel of Huế),../../data/landmark_vietnam_dataset_split\train\104627\train_104627_27.jpg
train_104896_1,train,104896,Angkorajaborey Pagoda,../../data/landmark_vietnam_dataset_split\train\104896\train_104896_1.jpg
train_104896_2,train,104896,Angkorajaborey Pagoda,../../data/landmark_vietnam_dataset_split\train\104896\train_104896_2.jpg
train_104896_3,train,104896,Angkorajaborey Pagoda,../../data/landmark_vietnam_dataset_split\train\104896\train_104896_3.jpg
train_104896_4,train,104896,Angkorajaborey Pagoda,../../data/landmark_vietnam_dataset_split\train\104896\train_104896_4.jpg
