landmark_id,landmark_name,answer
10363,"Pham Ngu Lao Street, Ho Chi Minh City","Detail: This bustling urban area is characterized by narrow multi-story buildings with colorful signs and narrow alleyways. The architecture reflects a mix of traditional Vietnamese shophouses and modern commercial storefronts. | Answer: Pham Ngu Lao Street, Ho Chi Minh City"
104622,Kim Lien shrine,"Detail: A traditional Vietnamese spiritual site featuring wooden structures with low-slung, curved tiled roofs. The courtyard is paved with bricks and surrounded by ancient ornamental trees and stone steles. | Answer: Kim Lien shrine"
104627,Pavilion of Splendour (Citadel of Huế),Detail: A majestic two-story wooden pavilion with intricate gold-leaf carvings and traditional red-lacquered pillars. The structure sits on a stone base with a grand staircase flanked by dragon carvings. | Answer: Pavilion of Splendour (Citadel of Huế)
104896,Angkorajaborey Pagoda,Detail: This temple displays distinct Khmer architectural influences with pointed golden spires and colorful murals. The entrance is often guarded by statues of mythical creatures and features elaborate pediment carvings. | Answer: Angkorajaborey Pagoda
107747,"Imperial City, Huế","Detail: A vast fortress complex enclosed by thick stone walls and a moat, featuring grand gates like Ng? Môn. The interior houses ornate palaces with yellow-tiled roofs and expansive courtyards reflecting royal Nguyen Dynasty style. | Answer: Imperial City, Huế"
10877,Phat Tich pagoda,"Detail: An ancient Buddhist site located on a mountain slope, famous for its giant stone Buddha statue and intricate stone carvings. The architecture includes traditional wooden halls with multi-tiered roofs nestled in a forest setting. | Answer: Phat Tich pagoda"
109509,Bach Ma,Detail: This colonial-era hill station features remnants of French villas built with local stone and wood amidst a lush national park. The architecture is characterized by steep roofs and chimneys designed for a cool mountainous climate. | Answer: Bach Ma
109993,Nui Coc Lake,Detail: A scenic landscape featuring a large artificial reservoir surrounded by green hills and man-made amusement structures. The area includes artificial caves and colorful fairy-tale themed architecture along the shoreline. | Answer: Nui Coc Lake
110950,Pagoda of the Celestial Lady,"Detail: The iconic feature of this site is an octagonal, seven-story brick tower overlooking the Perfume River. The pagoda grounds include tranquil gardens and traditional halls housing bronze bells and stone monuments. | Answer: Pagoda of the Celestial Lady"
111065,Flag Tower of Huế,Detail: A massive three-tiered brick structure serving as a base for a towering flagpole facing the Noon Gate. Its robust fortress-like design is a symbol of the city's historical military architecture. | Answer: Flag Tower of Huế
