id,url,landmark_id,category,supercategory,hierarchical_label,natural_or_human_made,landmark_name
97dc6cfdf8915b04,https://upload.wikimedia.org/wikipedia/commons/0/08/Swanshurst_Park_and_Zippos_Circus_%285542229099%29.jpg,4881,http://commons.wikimedia.org/wiki/Category:Swanshurst_Park,urban park,parks,natural,Swanshurst Park
705368184d94f98e,https://upload.wikimedia.org/wikipedia/commons/1/1d/Nanda_devi_from_kasauni.jpg,23858,http://commons.wikimedia.org/wiki/Category:Nanda_Devi,mountain,mountain,natural,Nanda Devi
33e9425e06398a55,https://upload.wikimedia.org/wikipedia/commons/6/61/Sowjetischer_ehrenfriedhof.JPG,95353,http://commons.wikimedia.org/wiki/Category:Kirche_Altd%C3%B6bern,church building,church,human-made,Kirche Altdöbern
bfe9c58f2e7cef2a,http://upload.wikimedia.org/wikipedia/commons/a/ab/Gda%C5%84sk%2C_D%C5%82uga_Street%2C_fish_for_water.JPG,74232,http://commons.wikimedia.org/wiki/Category:43_D%C5%82ugi_Targ_Square_in_Gda%C5%84sk,house,house,human-made,43 Długi Targ Square in Gdańsk
3101a1c885405410,https://upload.wikimedia.org/wikipedia/commons/1/1f/294_951-9_K%C3%B6nigswinter_2015-10-05-01.JPG,27430,http://commons.wikimedia.org/wiki/Category:Bahnhof_K%C3%B6nigswinter,railway station,rail transportation,human-made,Bahnhof Königswinter
3e97509f379ccf97,https://upload.wikimedia.org/wikipedia/commons/e/e7/All_-_Santa_Maria_2x.jpg,135237,http://commons.wikimedia.org/wiki/Category:Santa_Maria_de_All,parish church,church,human-made,Santa Maria de All
3154849484902d89,https://upload.wikimedia.org/wikipedia/commons/e/ef/Bulacanjf9910_06.JPG,202443,http://commons.wikimedia.org/wiki/Category:Ciudad_de_Victoria,mixed-use development,,,Ciudad de Victoria
b480cbc0074a8413,http://upload.wikimedia.org/wikipedia/commons/3/3d/West_Stow_Craft_Building.jpg,191583,http://commons.wikimedia.org/wiki/Category:West_Stow_Anglo-Saxon_Village,archaeological open-air museum,archeological site,human-made,West Stow Anglo-Saxon Village
046fcfb221cac838,https://upload.wikimedia.org/wikipedia/commons/5/5d/Umeda_-_panoramio_%2899%29.jpg,110054,http://commons.wikimedia.org/wiki/Category:Gate_Tower_Building,skyscraper,skyscraper,human-made,Gate Tower Building
5999a96729208e63,https://upload.wikimedia.org/wikipedia/commons/9/99/The_Old_Chiayi_Prison_at_night_%28Taiwan%29.jpg,147804,"http://commons.wikimedia.org/wiki/Category:Prison_Museum,_Taiwan",museum (2011),museum,human-made,"Prison Museum, Taiwan"
bfd17ddc819b763e,https://upload.wikimedia.org/wikipedia/commons/3/34/Matera%2C_San_Pietro_Caveoso_01.JPG,15233,http://commons.wikimedia.org/wiki/Category:San_Pietro_Caveoso_(Matera),church building,church,human-made,San Pietro Caveoso (Matera)
c53b48affcb0b08f,https://upload.wikimedia.org/wikipedia/commons/8/81/Meandry_Chval%C5%A1insk%C3%A9ho_potoka_na_ja%C5%99e_2012_%2814%29.JPG,35723,http://commons.wikimedia.org/wiki/Category:Meandry_Chval%C5%A1insk%C3%A9ho_potoka,natural monument in the Czech Republic,,,Meandry Chvalšinského potoka
2a10ea8d84e68e26,https://upload.wikimedia.org/wikipedia/commons/5/52/%D0%91%D0%B0%D1%81%D1%81%D0%B5%D0%B9%D0%BD_%D0%A1%D0%B0%D0%BD%D0%B4%D1%83%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D1%85_%D0%B1%D0%B0%D0%BD%D1%8C_02.JPG,160939,http://commons.wikimedia.org/wiki/Category:Sanduny,public bath,bath,human-made,Sanduny
5978cbc6dd75693e,https://upload.wikimedia.org/wikipedia/commons/5/5d/Matera%2C_san_pietro_caveoso%2C_esterno_04.jpg,15233,http://commons.wikimedia.org/wiki/Category:San_Pietro_Caveoso_(Matera),church building,church,human-made,San Pietro Caveoso (Matera)
683953da6e639c35,https://upload.wikimedia.org/wikipedia/commons/5/5c/Lebenswertes_chemnitz_chemnitz_winter_stadthalle_hotel_schnee_nacht.jpg,49943,http://commons.wikimedia.org/wiki/Category:Stadthalle_Chemnitz,event venue,,,Stadthalle Chemnitz
08e55482b7092707,https://upload.wikimedia.org/wikipedia/commons/c/c8/Budapest%2C_Franciscan_Square%2C_winter_evening_I.jpg,48532,http://commons.wikimedia.org/wiki/Category:Inner_City_Franciscan_Church_(Budapest),church building,church,human-made,Inner City Franciscan Church (Budapest)
